day	hour	min	second	price	volume
4	9	40	0	40.31	100
4	9	40	0	40.29	200
4	9	40	3	40.31	100
4	9	40	3	40.34	135
4	9	40	5	40.33	100
4	9	40	5	40.32	200
4	9	40	9	40.34	100
4	9	40	9	40.34	100
4	9	40	9	40.34	100
4	9	40	9	40.34	200
4	9	40	9	40.34	500
4	9	40	9	40.34	800
4	9	40	11	40.31	200
4	9	40	11	40.31	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	13	40.34	100
4	9	40	14	40.34	700
4	9	40	14	40.34	500
4	9	40	14	40.34	800
4	9	40	14	40.34	1300
4	9	40	14	40.35	100
4	9	40	18	40.35	100
4	9	40	25	40.36	100
4	9	40	26	40.4	200
4	9	40	26	40.4	200
4	9	40	26	40.4	200
4	9	40	26	40.4	400
4	9	40	26	40.41	100
4	9	40	26	40.39	100
4	9	40	28	40.39	200
4	9	40	29	40.39	100
4	9	40	29	40.42	600
4	9	40	29	40.42	200
4	9	40	29	40.43	100
4	9	40	32	40.421	100
4	9	40	33	40.44	100
4	9	40	33	40.44	200
4	9	40	33	40.43	100
4	9	40	33	40.44	300
4	9	40	33	40.44	400
4	9	40	33	40.43	100
4	9	40	33	40.43	100
4	9	40	33	40.43	100
4	9	40	33	40.44	100
4	9	40	33	40.42	200
4	9	40	33	40.42	200
4	9	40	34	40.42	100
4	9	40	36	40.42	100
4	9	40	37	40.42	100
4	9	40	37	40.42	100
4	9	40	38	40.39	100
4	9	40	41	40.39	200
4	9	40	42	40.4	300
4	9	40	42	40.38	300
4	9	40	42	40.38	200
4	9	40	45	40.4	100
4	9	40	45	40.4	100
4	9	40	46	40.4	100
4	9	40	48	40.43	100
4	9	40	48	40.43	300
4	9	40	50	40.43	100
4	9	40	50	40.43	100
4	9	40	50	40.39	100
4	9	40	51	40.4	100
4	9	40	55	40.43	100
4	9	40	55	40.4	300
4	9	40	55	40.39	100
4	9	40	55	40.39	100
4	9	40	58	40.39	100
4	9	40	58	40.4	100
4	9	41	0	40.42	100
4	9	41	0	40.42	200
4	9	41	1	40.42	100
4	9	41	1	40.42	200
4	9	41	1	40.39	100
4	9	41	1	40.39	100
4	9	41	1	40.39	100
4	9	41	2	40.37	500
4	9	41	11	40.39	100
4	9	41	13	40.43	100
4	9	41	20	40.41	100
4	9	41	20	40.41	100
4	9	41	21	40.44	100
4	9	41	21	40.44	100
4	9	41	21	40.39	100
4	9	41	21	40.4	100
4	9	41	26	40.39	100
4	9	41	27	40.39	100
4	9	41	27	40.39	100
4	9	41	27	40.43	200
4	9	41	29	40.43	100
4	9	41	29	40.43	400
4	9	41	29	40.43	100
4	9	41	29	40.43	200
4	9	41	44	40.4064	500
4	9	41	48	40.4	100
4	9	41	48	40.4	100
4	9	41	48	40.42	400
4	9	41	48	40.42	500
4	9	41	49	40.42	100
4	9	41	50	40.4	100
4	9	41	52	40.42	100
4	9	41	52	40.42	100
4	9	41	55	40.4125	100
4	9	41	55	40.42	300
4	9	41	56	40.42	100
4	9	41	56	40.39	100
4	9	41	56	40.39	100
4	9	41	56	40.39	100
4	9	41	57	40.42	900
4	9	41	57	40.405	100
4	9	41	57	40.4	100
4	9	41	57	40.4	100
4	9	41	57	40.39	200
4	9	41	57	40.4	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.37	100
4	9	41	58	40.37	100
4	9	41	58	40.38	100
4	9	41	58	40.39	100
4	9	41	58	40.4	100
4	9	41	58	40.39	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.38	100
4	9	41	58	40.36	100
4	9	41	58	40.38	100
4	9	41	58	40.35	200
4	9	41	58	40.35	100
4	9	42	0	40.35	100
4	9	42	8	40.37	100
4	9	42	9	40.37	100
4	9	42	9	40.37	100
4	9	42	9	40.38	100
4	9	42	9	40.38	100
4	9	42	9	40.38	100
4	9	42	9	40.38	100
4	9	42	9	40.39	100
4	9	42	9	40.42	100
4	9	42	10	40.42	100
4	9	42	13	40.35	100
4	9	42	13	40.35	100
4	9	42	13	40.34	100
4	9	42	13	40.34	100
4	9	42	17	40.36	200
4	9	42	33	40.37	100
4	9	42	36	40.37	100
4	9	42	43	40.39	100
4	9	42	43	40.345	300
4	9	42	48	40.35	300
4	9	42	53	40.37	100
4	9	42	53	40.4	400
4	9	42	59	40.37	100
4	9	42	59	40.37	100
4	9	43	2	40.4	100
4	9	43	2	40.4	100
4	9	43	8	40.41	100
4	9	43	8	40.41	100
4	9	43	8	40.41	100
4	9	43	9	40.42	100
4	9	43	9	40.42	100
4	9	43	10	40.42	100
4	9	43	10	40.42	300
4	9	43	10	40.42	100
4	9	43	12	40.43	100
4	9	43	16	40.41	200
